plan_b_balance_final,plan_b_shortfall,plan_b_educacion_ok,satelite_balance_25,villarrica_ok,villarrica_shortfall,satelite_balance_final,herencia_ok,herencia_shortfall,todos_ok_plan_b
0.0,12431.365629567852,False,1156181.1147036776,True,0.0,7211049.383122669,True,0.0,False
0.0,7159.508725333701,False,2410749.683676009,True,0.0,87478340.06665756,True,0.0,False
257646.65665384536,0.0,True,11179039.17739813,True,0.0,707036150.6944079,True,0.0,True
23805.786476351364,0.0,True,2817854.3322965633,True,0.0,24495370.60466827,True,0.0,True
67356.48475776224,0.0,True,3439352.4231725708,True,0.0,24958992.01552951,True,0.0,True
214668.90875290963,0.0,True,2841067.777955314,True,0.0,28580764.297702845,True,0.0,True
62296.72617859993,0.0,True,1086900.2052882395,True,0.0,4807600.212606261,True,0.0,True
0.0,24611.779234808717,False,2359992.2574461875,True,0.0,35943926.904010676,True,0.0,False
175952.74899835646,0.0,True,1219906.878756584,True,0.0,6338359.434715604,True,0.0,True
0.0,72407.29983535045,False,5731150.002771941,True,0.0,81677665.39892071,True,0.0,False
0.0,39947.98260277818,False,1963954.0378623533,True,0.0,8729318.028234188,True,0.0,False
228129.3757653039,0.0,True,3516961.747862901,True,0.0,160651069.50705877,True,0.0,True
50600.32627441616,0.0,True,3078222.1374276876,True,0.0,76190421.76353623,True,0.0,True
70506.25495887767,0.0,True,1362304.6540930471,True,0.0,8174972.989948591,True,0.0,True
0.0,33029.80018024967,False,5308416.878708091,True,0.0,31486250.01811625,True,0.0,False
45614.637849157494,0.0,True,1769438.6893608773,True,0.0,12193576.836099956,True,0.0,True
0.0,81382.09662759629,False,2608738.254133903,True,0.0,82542590.42066297,True,0.0,False
38674.500319878454,0.0,True,4308018.675749614,True,0.0,69770210.57709599,True,0.0,True
23412.24143689684,0.0,True,1595979.8091649092,True,0.0,15628183.297100095,True,0.0,True
0.0,5493.502943291007,False,3776281.8546772934,True,0.0,42725054.88633217,True,0.0,False
0.0,2596.8858770817715,False,2449568.126461259,True,0.0,71824891.34146935,True,0.0,False
210185.41631686979,0.0,True,1542935.809444626,True,0.0,30476313.342550833,True,0.0,True
0.0,13434.123261148072,False,1968207.0822412176,True,0.0,23359575.987618,True,0.0,False
91679.19265819929,0.0,True,4697068.107315811,True,0.0,43840492.96426175,True,0.0,True
0.0,2782.654337782673,False,2211274.9413601,True,0.0,23344660.986530554,True,0.0,False
0.0,12982.172214691178,False,1789233.285492717,True,0.0,12319067.799813757,True,0.0,False
59493.221629586755,0.0,True,1323562.2272555411,True,0.0,6623149.133638253,True,0.0,True
71792.67921960805,0.0,True,1353109.8034001824,True,0.0,16090946.124602491,True,0.0,True
76752.0389966442,0.0,True,1395908.0645594718,True,0.0,12624255.877300171,True,0.0,True
19240.40189958123,0.0,True,2775775.5586177423,True,0.0,17549924.76272644,True,0.0,True
95686.4497139339,0.0,True,1316896.7487175893,True,0.0,8761424.117349455,True,0.0,True
53522.67098607987,0.0,True,1037161.9733085984,True,0.0,5309799.742995093,True,0.0,True
0.0,76824.6248737464,False,3256666.295809153,True,0.0,38282733.96940477,True,0.0,False
213438.42999960575,0.0,True,2190851.799552444,True,0.0,11359168.495749157,True,0.0,True
0.0,3041.67642917786,False,2324016.7570765754,True,0.0,21976958.364539947,True,0.0,False
100008.13118441313,0.0,True,918230.8258723698,True,0.0,11400516.199397312,True,0.0,True
0.0,68666.69071865687,False,3536138.566156688,True,0.0,35403947.3471663,True,0.0,False
289590.0243342223,0.0,True,2685257.3558221157,True,0.0,124218011.01293129,True,0.0,True
66362.59268717407,0.0,True,4133508.3475563726,True,0.0,37653893.42311304,True,0.0,True
123207.06002908153,0.0,True,1008125.2340653859,True,0.0,13793586.314292004,True,0.0,True
154408.67832823604,0.0,True,4262770.753760505,True,0.0,87162109.52314806,True,0.0,True
114974.0980560332,0.0,True,1935125.3536702006,True,0.0,30798006.57846011,True,0.0,True
0.0,34642.57557511229,False,3662484.0682499367,True,0.0,36825900.24598485,True,0.0,False
0.0,42053.981716433045,False,1028267.3402801848,True,0.0,6192880.865303345,True,0.0,False
0.0,25031.291910180793,False,1616647.599964958,True,0.0,16932874.764033273,True,0.0,False
126580.79305469268,0.0,True,1531127.6873133744,True,0.0,11767045.993290564,True,0.0,True
321549.0866792541,0.0,True,2858813.706653163,True,0.0,40640234.52621869,True,0.0,True
65712.99708137907,0.0,True,2797944.230886771,True,0.0,66585758.47632824,True,0.0,True
95715.24199707311,0.0,True,2660454.6270675585,True,0.0,60954249.291284144,True,0.0,True
153035.63657338408,0.0,True,2099008.790484678,True,0.0,14699447.701654717,True,0.0,True
